Time,E1,E2,E3,E4
4:48:00,42,800,1591,2408
4:49:00,37,820,1622,2387
4:50:00,34,831,1613,2344
4:51:00,39,802,1597,2399
4:52:00,32,800,1582,2362
4:53:00,35,823,1609,2367
4:54:00,33,793,1577,2370
4:55:00,37,821,1571,2352
4:56:00,34,793,1563,2402
4:57:00,43,838,1611,2378
4:58:00,29,820,1595,2356
4:59:00,42,797,1602,2386
5:00:00,37,808,1588,2337
5:01:00,37,787,1585,2366
5:02:00,39,808,1626,2367
5:03:00,35,786,1567,2382
5:04:00,35,802,1630,2404
5:05:00,31,800,1631,2401
5:06:00,38,833,1593,2364
5:07:00,32,797,1580,2420
5:08:00,35,805,1590,2448
5:09:00,43,804,1608,2392
5:10:00,35,789,1596,2362
5:11:00,34,804,1666,2393
5:12:00,36,797,1582,2354
5:13:00,38,799,1565,2444
5:14:00,38,829,1559,2401
5:15:00,38,786,1565,2333
5:16:00,34,807,1584,2413
5:17:00,32,791,1608,2364
5:18:00,34,785,1595,2366
5:19:00,32,858,1597,2378
5:20:00,25,804,1619,2410
5:21:00,27,829,1625,2427
5:22:00,36,794,1620,2448
5:23:00,30,818,1587,2427
5:24:00,39,807,1596,2346
5:25:00,37,822,1597,2391
5:26:00,37,801,1610,2413
5:27:00,38,812,1608,2386
5:28:00,30,804,1605,2367
5:29:00,38,833,1598,2414
5:30:00,31,818,1580,2447
5:31:00,35,804,1575,2368
5:32:00,40,815,1576,2406
5:33:00,34,777,1603,2352
5:34:00,36,790,1615,2377
5:35:00,42,799,1588,2402
5:36:00,33,822,1590,2368
5:37:00,42,821,1551,2410
5:38:00,29,804,1581,2410
5:39:00,35,810,1573,2391
5:40:00,36,782,1567,2384
5:41:00,40,797,1620,2401
5:42:00,38,805,1583,2434
5:43:00,38,788,1612,2404
5:44:00,34,803,1560,2399
5:45:00,30,798,1621,2393
5:46:00,43,823,1587,2388
5:47:00,42,824,1587,2348
5:48:00,35,798,1615,2357
5:49:00,39,841,1588,2398
5:50:00,30,801,1620,2331
5:51:00,37,817,1607,2436
5:52:00,39,788,1567,2437
5:53:00,35,799,1597,2421
5:54:00,40,820,1611,2411
5:55:00,36,848,1610,2343
5:56:00,36,800,1569,2404
5:57:00,34,813,1617,2363
5:58:00,37,794,1605,2386
5:59:00,34,825,1574,2381
6:00:00,38,819,1592,2386
